run_name,run_dir,score,outlier_type
run_20251119_095937,results/run_20251119_095937,10.967845,normal
run_20251119_100003,results/run_20251119_100003,7.732008,normal
run_20251119_100028,results/run_20251119_100028,16.17495,normal
run_20251119_100054,results/run_20251119_100054,10.185687,normal
run_20251119_100120,results/run_20251119_100120,4.20848,normal
run_20251119_100146,results/run_20251119_100146,13.689038,normal
run_20251119_100212,results/run_20251119_100212,9.927904,normal
run_20251119_100237,results/run_20251119_100237,6.676555,normal
run_20251119_100303,results/run_20251119_100303,8.281481,normal
run_20251119_100329,results/run_20251119_100329,4.741744,normal
run_20251119_100354,results/run_20251119_100354,6.405422,normal
run_20251119_100420,results/run_20251119_100420,5.92602,normal
run_20251119_100446,results/run_20251119_100446,13.210314,normal
run_20251119_100512,results/run_20251119_100512,44.235035,poor
run_20251119_100538,results/run_20251119_100538,7.403559,normal
run_20251119_100603,results/run_20251119_100603,12.668032,normal
run_20251119_100629,results/run_20251119_100629,5.089636,normal
run_20251119_100655,results/run_20251119_100655,12.328297,normal
run_20251119_100721,results/run_20251119_100721,10.474919,normal
run_20251119_100746,results/run_20251119_100746,15.832626,normal
run_20251119_100812,results/run_20251119_100812,11.309523,normal
run_20251119_100838,results/run_20251119_100838,6.820938,normal
run_20251119_100904,results/run_20251119_100904,12.214265,normal
run_20251119_100930,results/run_20251119_100930,11.115359,normal
run_20251119_100955,results/run_20251119_100955,16.140051,normal
run_20251119_101021,results/run_20251119_101021,17.817294,normal
run_20251119_101047,results/run_20251119_101047,8.448517,normal
run_20251119_101113,results/run_20251119_101113,12.417176,normal
run_20251119_101138,results/run_20251119_101138,10.873497,normal
run_20251119_101204,results/run_20251119_101204,6.166604,normal
run_20251119_101230,results/run_20251119_101230,5.72326,normal
run_20251119_101255,results/run_20251119_101255,5.750321,normal
run_20251119_101321,results/run_20251119_101321,7.40727,normal
run_20251119_101346,results/run_20251119_101346,5.892209,normal
run_20251119_101412,results/run_20251119_101412,5.571971,normal
run_20251119_101438,results/run_20251119_101438,8.357445,normal
run_20251119_101504,results/run_20251119_101504,13.954106,normal
run_20251119_101530,results/run_20251119_101530,19.542367,poor
run_20251119_101555,results/run_20251119_101555,8.465553,normal
